Month,Date,Time,Level,Component,PID,Content,EventTemplate,Regex
Jun,15,02:04:59,combo,sshd(pam_unix),20898,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,15,04:12:42,combo,su(pam_unix),22644,session opened for user news by (uid=0), session  opened  for  user  news  by   ( uid = <*> )  , session opened for user news by  ( uid = (.*?) ) 
Jun,15,12:12:34,combo,sshd(pam_unix),23395,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,15,12:12:34,combo,sshd(pam_unix),23396,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,15,12:13:19,combo,sshd(pam_unix),23414,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,15,12:13:20,combo,sshd(pam_unix),23416,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,15,14:53:32,combo,sshd(pam_unix),23663,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,15,14:53:35,combo,sshd(pam_unix),23671,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,17,20:55:06,combo,ftpd,30756,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005, connection  from  <*>   ( <*> )   at  fri  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at fri jun (.*?) (.*?) (.*?) 
Jun,18,01:30:59,combo,sshd(pam_unix),31198,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,18,02:08:11,combo,ftpd,31281,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005, connection  from  <*>   (  )   at  sat  jun  <*>  <*> <*> , connection from (.*?)  ( )  at sat jun (.*?) (.*?) (.*?) 
Jun,18,02:08:11,combo,ftpd,31283,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005, connection  from  <*>   (  )   at  sat  jun  <*>  <*> <*> , connection from (.*?)  ( )  at sat jun (.*?) (.*?) (.*?) 
Jun,20,03:40:59,combo,ftpd,8823,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,20,03:40:59,combo,ftpd,8826,connection from 222.33.90.199 () at Mon Jun 20 03:40:59 2005, connection  from  <*>   ( <*> )   at  mon  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at mon jun (.*?) (.*?) (.*?) 
Jun,21,04:06:57,combo,su(pam_unix),12098,session opened for user cyrus by (uid=0), session  opened  for  user  cyrus  by   ( uid = <*> )  , session opened for user cyrus by  ( uid = (.*?) ) 
Jun,21,04:13:04,combo,su(pam_unix),13327,session closed for user news, session  closed  for  user  news , session closed for user news 
Jun,22,03:18:22,combo,sshd(pam_unix),16250,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=n219076184117.netvigator.com  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,22,13:16:30,combo,ftpd,17876,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005, connection  from  <*>   (  )   at  wed  jun  <*>  <*> <*> , connection from (.*?)  ( )  at wed jun (.*?) (.*?) (.*?) 
Jun,22,13:16:30,combo,ftpd,17882,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005, connection  from  <*>   (  )   at  wed  jun  <*>  <*> <*> , connection from (.*?)  ( )  at wed jun (.*?) (.*?) (.*?) 
Jun,22,13:16:31,combo,ftpd,17884,connection from 210.245.165.136 () at Wed Jun 22 13:16:31 2005, connection  from  <*>   (  )   at  wed  jun  <*>  <*> <*> , connection from (.*?)  ( )  at wed jun (.*?) (.*?) (.*?) 
Jun,23,02:55:14,combo,sshd(pam_unix),19085,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,23,04:13:09,combo,su(pam_unix),24180,session closed for user news, session  closed  for  user  news , session closed for user news 
Jun,24,18:55:11,combo,ftpd,28562,connection from 218.69.108.57 () at Fri Jun 24 18:55:11 2005, connection  from  <*>   ( <*> )   at  fri  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at fri jun (.*?) (.*?) (.*?) 
Jun,24,18:55:18,combo,ftpd,28572,connection from 218.69.108.57 () at Fri Jun 24 18:55:18 2005, connection  from  <*>   ( <*> )   at  fri  jun  <*>  <*> <*> , connection from (.*?)  ( (.*?) )  at fri jun (.*?) (.*?) (.*?) 
Jun,25,04:41:49,combo,sshd(pam_unix),31036,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,25,04:41:49,combo,sshd(pam_unix),31036,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,25,04:41:51,combo,sshd(pam_unix),31025,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,25,04:41:51,combo,sshd(pam_unix),31020,check pass; user unknown, check  pass;  user  unknown , check pass; user unknown 
Jun,25,04:41:51,combo,sshd(pam_unix),31024,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=massive.merukuru.org, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,25,09:20:24,combo,ftpd,31473,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005, connection  from  <*>   (  )   at  sat  jun  <*>  <*> <*> , connection from (.*?)  ( )  at sat jun (.*?) (.*?) (.*?) 
Jun,25,09:20:24,combo,ftpd,31469,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005, connection  from  <*>   (  )   at  sat  jun  <*>  <*> <*> , connection from (.*?)  ( )  at sat jun (.*?) (.*?) (.*?) 
Jun,25,09:20:24,combo,ftpd,31460,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005, connection  from  <*>   (  )   at  sat  jun  <*>  <*> <*> , connection from (.*?)  ( )  at sat jun (.*?) (.*?) (.*?) 
Jun,25,19:25:30,combo,ftpd,32324,connection from 211.167.68.59 () at Sat Jun 25 19:25:30 2005, connection  from  <*>   (  )   at  sat  jun  <*>  <*> <*> , connection from (.*?)  ( )  at sat jun (.*?) (.*?) (.*?) 
Jun,26,04:04:19,combo,cups,,cupsd shutdown succeeded, cupsd  shutdown  succeeded , cupsd shutdown succeeded 
Jun,26,04:04:31,combo,syslogd 1.4.1,,restart., restart. , restart. 
Jun,26,04:04:31,combo,logrotate,,ALERT exited abnormally with [1], ALERT  exited  abnormally  with   [ <*> ]  , ALERT exited abnormally with  [ (.*?) ] 
Jun,26,04:10:04,combo,su(pam_unix),1546,session closed for user news, session  closed  for  user  news , session closed for user news 
Jun,28,08:10:24,combo,sshd(pam_unix),11513,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,28,08:10:25,combo,sshd(pam_unix),11519,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.53.154.93  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,28,21:42:46,combo,sshd(pam_unix),12755,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.115.206.155, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*> , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) 
Jun,29,03:22:22,combo,ftpd,13252,connection from 61.74.96.178 () at Wed Jun 29 03:22:22 2005, connection  from  <*>   (  )   at  wed  jun  <*>  <*> <*> , connection from (.*?)  ( )  at wed jun (.*?) (.*?) (.*?) 
Jun,29,12:12:03,combo,sshd(pam_unix),15708,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=h64-187-1-131.gtconnect.net  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,30,04:09:30,combo,su(pam_unix),17778,session opened for user news by (uid=0), session  opened  for  user  news  by   ( uid = <*> )  , session opened for user news by  ( uid = (.*?) ) 
Jun,30,20:16:17,combo,sshd(pam_unix),19202,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=195.129.24.210  user=root, authentication  failure;  logname =   uid = <*> euid = <*> tty = NODEVssh  ruser =   rhost = <*>  user = root , authentication failure; logname =  uid = (.*?) euid = (.*?) tty = NODEVssh ruser =  rhost = (.*?) user = root 
Jun,30,20:53:04,combo,klogind,19271,Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code, Authentication  failed  from  <*>   ( <*> ) :  Permission  denied  in  replay  cache  code , Authentication failed from (.*?)  ( (.*?) ) : Permission denied in replay cache code 
Jun,30,20:53:04,combo,klogind,19268,Authentication failed from 163.27.187.39 (163.27.187.39): Permission denied in replay cache code, Authentication  failed  from  <*>   ( <*> ) :  Permission  denied  in  replay  cache  code , Authentication failed from (.*?)  ( (.*?) ) : Permission denied in replay cache code 
Jun,30,20:53:06,combo,klogind,19273,Authentication failed from 163.27.187.39 (163.27.187.39): Software caused connection abort, Authentication  failed  from  <*>   ( <*> ) :  Software  caused  connection  abort , Authentication failed from (.*?)  ( (.*?) ) : Software caused connection abort 
Jun,30,22:16:32,combo,sshd(pam_unix),19432,session opened for user test by (uid=509), session  opened  for  user  test  by   ( uid = <*> )  , session opened for user test by  ( uid = (.*?) ) 
Jun,30,22:16:32,combo,sshd(pam_unix),19431,session opened for user test by (uid=509), session  opened  for  user  test  by   ( uid = <*> )  , session opened for user test by  ( uid = (.*?) ) 
Jun,30,22:16:32,combo,sshd(pam_unix),19435,session opened for user test by (uid=509), session  opened  for  user  test  by   ( uid = <*> )  , session opened for user test by  ( uid = (.*?) ) 
Jun,30,22:16:32,combo,sshd(pam_unix),19435,session closed for user test, session  closed  for  user  test , session closed for user test 
