Time,Component,Pid,Content,EventTemplate,Regex
20171223-23:37:14:451,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=131208, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171223-23:56:13:445,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514044500000##7214##549659##8661##16256##33216767, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171223-23:56:28:137,Step_LSC,30002312,onStandStepChanged 3786, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-2:43:43:561,Step_LSC,30002312,onStandStepChanged 3786, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-2:49:8:566,Step_LSC,30002312,onExtend:1514054949000 0 0 5, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-2:49:23:563,Step_LSC,30002312,onStandStepChanged 3786, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-2:51:43:571,Step_LSC,30002312,onExtend:1514055104000 0 0 0, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-2:53:36:862,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514055120000##0##549659##8661##16256##43859181, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-3:22:29:561,Step_LSC,30002312,onStandStepChanged 3786, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-3:24:19:570,Step_LSC,30002312,onExtend:1514057060000 0 0 5, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-3:34:33:561,Step_LSC,30002312,onStandStepChanged 3786, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-3:40:29:873,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-3:40:52:863,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514057940000##0##549659##8661##16256##46697182, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-3:43:2:862,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514058060000##0##549659##8661##16256##46823182, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-3:49:8:873,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=0, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-3:54:3:871,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=0, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-4:3:30:568,Step_LSC,30002312,onStandStepChanged 3786, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-4:14:44:869,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514059980000##0##549659##8661##16256##48722196, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-8:22:39:101,Step_LSC,30002312,onExtend:1514070400000 0 0 5, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-10:27:22:332,Step_LSC,30002312,onExtend:1514079262000 0 0 5, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-10:29:19:465,Step_LSC,30002312,onStandStepChanged 3786, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-10:30:13:870,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-10:39:3:963,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-11:34:46:70,Step_LSC,30002312,onStandStepChanged 4601, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-11:43:14:392,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514086860000##815##552896##8661##16256##75583843, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-11:43:27:409,Step_LSC,30002312,onStandStepChanged 4674, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-11:43:28:230,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=19059, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-11:43:35:244,Step_StandReportReceiver,30002312,REPORT : 904 645 19363 0, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-11:43:38:747,Step_StandReportReceiver,30002312,REPORT : 911 650 19513 0, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-11:43:48:725,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514086920000##931##552896##8661##16256##75673043, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-11:50:45:391,HiH_HiHealthBinder,30002312,insertHiHealthData() checkAppType  0 appID = 1, insertHiHealthData (  )   checkAppType <*> appID   = <*> , insertHiHealthData ( )  checkAppType (.*?) appID  = (.*?) 
20171224-11:50:45:413,HiH_DataStatManager,30002312,"new date =20171224, type=40002,939.0,old=1688.0", new  date   = <*>   type = <*> <*> old = <*> , new date  = (.*?)  type = (.*?) (.*?) old = (.*?) 
20171224-11:51:13:519,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514087400000##1740##558980##8661##16256##76117339, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-11:53:58:750,Step_LSC,30002312,flushTempCacheToDB by ext, flushTempCacheToDB  by  ext , flushTempCacheToDB by ext 
20171224-11:53:58:758,HiH_HiHealthBinder,30002312,insertHiHealthData() checkAppType  0 appID = 1, insertHiHealthData (  )   checkAppType <*> appID   = <*> , insertHiHealthData ( )  checkAppType (.*?) appID  = (.*?) 
20171224-11:53:58:810,HiH_HiBroadcastUtil,30002312,sendSyncFailedBroadcast, sendSyncFailedBroadcast , sendSyncFailedBroadcast 
20171224-11:54:0:406,Step_StandReportReceiver,30002312,REPORT : 2032 1450 43525 0, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-11:57:38:419,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-12:1:43:335,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=44242, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-12:12:1:4,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-12:18:6:604,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=49273, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-12:50:31:332,Step_LSC,30002312,onExtend:1514090856000 54 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-12:50:31:470,HiH_HiBroadcastUtil,30002312,sendSyncFailedBroadcast, sendSyncFailedBroadcast , sendSyncFailedBroadcast 
20171224-15:30:59:150,Step_FlushableStepDataCache,30002312,"upLoadOneMinuteDataToEngine time=25234908,0,6,0,20002", uploadoneminutedatatoengine  time = <*> <*> <*> <*> <*> , uploadoneminutedatatoengine time = (.*?) (.*?) (.*?) (.*?) (.*?) 
20171224-15:30:59:152,Step_FlushableStepDataCache,30002312,"upLoadOneMinuteDataToEngine time=25234926,0,8,0,20002", uploadoneminutedatatoengine  time = <*> <*> <*> <*> <*> , uploadoneminutedatatoengine time = (.*?) (.*?) (.*?) (.*?) (.*?) 
20171224-15:30:59:168,HiH_DataStatManager,30002312,"new date =20171224, type=40005,30.0,old=30.0", new  date   = <*>   type = <*> <*> old = <*> , new date  = (.*?)  type = (.*?) (.*?) old = (.*?) 
20171224-15:30:59:440,HiH_HiBroadcastUtil,30002312,sendSyncFailedBroadcast, sendSyncFailedBroadcast , sendSyncFailedBroadcast 
20171224-15:32:58:323,Step_SPUtils,30002312,getVersion, getVersion , getVersion 
20171224-15:32:58:366,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514100674406##5017##566983##8661##16256##89379019, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-15:44:15:706,Step_LSC,30002312,onExtend:1514101456000 3 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-15:44:19:489,Step_StandReportReceiver,30002312,REPORT : 5063 3582 107485 0, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-15:45:11:705,Step_LSC,30002312,onExtend:1514101512000 3 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-15:45:13:992,Step_StandReportReceiver,30002312,REPORT : 5157 3661 109841 0, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-15:45:18:689,Step_LSC,30002312,onStandStepChanged 149, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-15:46:9:195,Step_LSC,30002312,onStandStepChanged 234, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-15:56:54:420,Step_StandStepCounter,30002312,flush sensor data, flush  sensor  data , flush sensor data 
20171224-16:17:2:305,HiH_HiBroadcastUtil,30002312,sendSyncFailedBroadcast, sendSyncFailedBroadcast , sendSyncFailedBroadcast 
20171224-16:34:56:270,Step_LSC,30002312,onExtend:1514103842000 41 0 0, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-16:40:39:530,HiH_HiAppUtil,30002312,getBinderPackageName packageName = com.huawei.health, getBinderPackageName  packageName   =   <*> , getBinderPackageName packageName  =  (.*?) 
20171224-16:48:29:496,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514105220000##6306##567328##8661##16256##4561080, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-16:49:19:512,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514105280000##6345##568107##8661##16256##4611096, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-16:49:34:216,Step_LSC,30002312,onExtend:1514105374000 1 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-16:54:11:804,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514105340000##6422##569541##8661##16256##4658903, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-17:4:35:308,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON, processhandlebroadcastaction  action:<*>time_tick , processhandlebroadcastaction action:(.*?)time_tick 
20171224-17:4:35:505,HiH_HiHealthDataInsertStore,30002312,"saveRealTimeHealthDatasStat() size = 1,totalTime = 29", saverealtimehealthdatasstat (  )   size   = <*> totaltime   =   <*> , saverealtimehealthdatasstat ( )  size  = (.*?) totaltime  =  (.*?) 
20171224-17:4:35:521,HiH_HiBroadcastUtil,30002312,sendSyncFailedBroadcast, sendSyncFailedBroadcast , sendSyncFailedBroadcast 
20171224-17:12:24:871,HiH_HiHealthBinder,30002312,"getAppContext() isAppValid health or wear, packageName = com.huawei.health", getAppContext (  )   isAppValid  health  or  wear   packageName   =   <*> , getAppContext ( )  isAppValid health or wear  packageName  =  (.*?) 
20171224-17:12:24:962,Step_LSC,30002312,onExtend:1514106745000 0 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-17:12:43:17,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-17:16:8:294,Step_LSC,30002312,onExtend:1514106946000 86 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-17:16:8:306,HiH_HiHealthDataInsertStore,30002312,"saveStatData() type =40002,time = 1514044800000,statClient = 2,who is 1", savestatdata (  )   type   = <*> time   =   <*> statclient   = <*> who  is <*> , savestatdata ( )  type  = (.*?) time  =  (.*?) statclient  = (.*?) who is (.*?) 
20171224-17:29:9:437,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514107680000##7798##571348##8661##16256##7001021, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-17:41:22:398,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514108280000##7849##571755##8661##16256##7605694, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-17:41:27:42,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=0, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-17:48:27:917,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514108700000##7868##571806##8661##16256##8052883, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-17:58:57:332,Step_LSC,30002312,flushTempCacheToDB by ext, flushTempCacheToDB  by  ext , flushTempCacheToDB by ext 
20171224-17:58:57:448,HiH_HiBroadcastUtil,30002312,sendSyncFailedBroadcast, sendSyncFailedBroadcast , sendSyncFailedBroadcast 
20171224-17:58:57:488,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514109420000##8574##572266##8661##16256##8789072, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:1:59:3,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514109600000##8592##572381##8661##16256##8970480, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-18:1:59:207,Step_LSC,30002312,onExtend:1514109719000 3 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:2:10:704,Step_LSC,30002312,onStandStepChanged 3611, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-18:2:11:5,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514109660000##8627##572837##8661##16256##8982474, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-18:2:48:526,Step_StandReportReceiver,30002312,REPORT : 8695 6208 186246 0, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:5:43:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514109840000##8762##574917##8661##16256##9195916, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:5:49:456,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=80397, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-18:5:51:648,Step_LSC,30002312,onStandStepChanged 3759, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-18:6:2:975,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=80911, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-18:6:3:480,Step_StandReportReceiver,30002312,REPORT : 8797 6281 188431 0, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:11:57:308,Step_FlushableStepDataCache,30002312,writeDataToDB size 138, writedatatodb  size  <*> , writedatatodb size (.*?) 
20171224-18:11:57:454,HiH_DataStatManager,30002312,"new date =20171224, type=40003,188134.73999999982,old=188645.0", new  date   = <*>   type = <*> <*> old = <*> , new date  = (.*?)  type = (.*?) (.*?) old = (.*?) 
20171224-18:21:0:151,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK, processhandlebroadcastaction  action:<*>time_tick , processhandlebroadcastaction action:(.*?)time_tick 
20171224-18:34:44:718,HiH_,30002312,initUserPrivacy the userPrivacy is true, initUserPrivacy  the  userPrivacy  is  true , initUserPrivacy the userPrivacy is true 
20171224-18:34:44:813,HiH_HiSyncControl,30002312,"stepSyncOrNot appSynTimes is 0, statsyncTimes is 0", stepSyncOrNot  appSynTimes  is <*> statsyncTimes  is <*> , stepSyncOrNot appSynTimes is (.*?) statsyncTimes is (.*?) 
20171224-18:35:28:675,Step_LSC,30002312,onExtend:1514111728000 4 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:36:24:464,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514111700000##9408##578995##8661##16256##11035531, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:36:30:664,Step_LSC,30002312,onStandStepChanged 4406, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-18:47:31:665,Step_LSC,30002312,onStandStepChanged 4437, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-18:47:39:676,Step_LSC,30002312,onExtend:1514112460000 3 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:49:6:492,HiH_HiHealthDataInsertStore,30002312,"saveStatData() type =40003,time = 1514044800000,statClient = 2,who is 1", savestatdata (  )   type   = <*> time   =   <*> statclient   = <*> who  is <*> , savestatdata ( )  type  = (.*?) time  =  (.*?) statclient  = (.*?) who is (.*?) 
20171224-18:49:6:511,HiH_HiAppUtil,30002312,getBinderPackageName packageName = com.huawei.health, getBinderPackageName  packageName   =   <*> , getBinderPackageName packageName  =  (.*?) 
20171224-18:49:6:522,HiH_HiSyncControl,30002312,checkInsertStatus stepStatSum or calorieStatSum is enough, checkInsertStatus  stepStatSum  or  calorieStatSum  is  enough , checkInsertStatus stepStatSum or calorieStatSum is enough 
20171224-18:50:2:302,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=90, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-18:50:2:785,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514112540000##9645##581834##8661##16586##11853852, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:50:7:785,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514112540000##9652##581834##8661##17048##11858351, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-18:50:9:498,Step_LSC,30002312,onExtend:1514112609000 1 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:50:17:306,Step_StandReportReceiver,30002312,REPORT : 9667 6902 207067 90, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:50:18:785,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514112540000##9669##581834##8661##18170##11869852, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:50:19:790,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=90, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-18:50:20:300,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=90, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-18:50:23:796,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=119940, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-18:50:35:296,Step_StandReportReceiver,30002312,REPORT : 9694 6921 207645 90, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:50:39:493,Step_LSC,30002312,onExtend:1514112639000 1 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:50:49:794,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=120818, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-18:50:58:67,HiH_DataStatManager,30002312,"new date =20171224, type=40003,225521.27999999985,old=208416.0", new  date   = <*>   type = <*> <*> old = <*> , new date  = (.*?)  type = (.*?) (.*?) old = (.*?) 
20171224-18:51:3:496,Step_LSC,30002312,onExtend:1514112663000 1 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:51:15:787,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514112600000##9758##584066##8661##22394##11926853, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:51:33:287,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514112600000##9788##586856##8661##22394##11944354, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:51:42:983,Step_LSC,30002312,onStandStepChanged 4788, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-18:51:44:797,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=122746, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-18:51:47:310,Step_StandReportReceiver,30002312,REPORT : 9811 7005 210151 90, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:51:52:295,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=90, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-18:51:57:984,Step_LSC,30002312,onStandStepChanged 4813, onstandstepchanged  <*> , onstandstepchanged (.*?) 
20171224-18:52:0:799,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=123324, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-18:52:40:795,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514112660000##9900##597581##8661##22394##12011861, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:53:19:798,Step_StandReportReceiver,30002312,REPORT : 9960 7111 213343 120, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:53:29:825,Step_StandReportReceiver,30002312,REPORT : 9976 7122 213685 120, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:53:35:785,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514112720000##9985##605633##8661##22394##12066352, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-18:53:36:287,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514112720000##9987##605825##8661##22394##12067354, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:53:46:300,Step_StandReportReceiver,30002312,REPORT : 10003 7142 214264 120, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:57:47:238,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514112960000##10327##608561##8661##23262##12317306, gettodaytotaldetailsteps   =   <*> , gettodaytotaldetailsteps  =  (.*?) 
20171224-18:57:48:447,Step_LSC,30002312,onExtend:1514113068000 1 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:58:6:747,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=144363, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-18:58:24:270,HiH_HiAppUtil,30002312,getBinderPackageName packageName = com.huawei.health, getBinderPackageName  packageName   =   <*> , getBinderPackageName packageName  =  (.*?) 
20171224-18:58:26:549,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=150, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-18:58:32:60,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=145348, calculatecalorieswithcache  totalcalories = <*> , calculatecalorieswithcache totalcalories = (.*?) 
20171224-18:59:20:792,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514113080000##10506##613214##8661##23262##12411858, settodaytotaldetailsteps = <*> , settodaytotaldetailsteps = (.*?) 
20171224-18:59:22:797,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=150, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-18:59:22:798,Step_StandReportReceiver,30002312,REPORT : 10509 7503 225102 150, report  :  <*>  <*>  <*>  <*> , report : (.*?) (.*?) (.*?) (.*?) 
20171224-18:59:22:992,Step_LSC,30002312,onExtend:1514113164000 1 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:59:34:499,Step_LSC,30002312,onExtend:1514113175000 1 0 4, onextend:1514902316000 <*> 0  <*> , onextend:1514902316000 (.*?) 0 (.*?) 
20171224-18:59:35:309,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=150, calculatealtitudewithcache  totalaltitude = <*> , calculatealtitudewithcache totalaltitude = (.*?) 
20171224-18:59:38:600,HiH_DataStatManager,30002312,"new date =20171224, type=40041,11520.0,old=11460.0", new  date   = <*>   type = <*> <*> old = <*> , new date  = (.*?)  type = (.*?) (.*?) old = (.*?) 
